"Link-ID","Text","Typ","Enable When","Wertemenge","Herkunft","Nutzung"
"1","(1) Personenbezogene Daten Kind","group","","","",""
"1.4b.2","(1.4b.2) Staatsangehörigkeit Mutter","choice","","Afghanistan :: Ägypten :: Åland :: Albanien :: Algerien :: Amerik.-Jungferninseln :: Amerikanisch-Samoa :: Andorra :: Angola :: ...","DE-SL",""
"1.4c.2","(1.4c.2) Staatsangehörigkeit Vater","choice","","Afghanistan :: Ägypten :: Åland :: Albanien :: Algerien :: Amerik.-Jungferninseln :: Amerikanisch-Samoa :: Andorra :: Angola :: ...","DE-SL",""
"1.5","(1.5) Geburtsland","choice","","Afghanistan :: Ägypten :: Åland :: Albanien :: Algerien :: Amerik.-Jungferninseln :: Amerikanisch-Samoa :: Andorra :: Angola :: ...","",""
"1.5.1","(1.5.1) Wie alt war das Kind bei Einreise nach Deutschland?","choice","1.5 = D","Hier geboren :: Unter 1 Jahr :: >= 1 Jahr bis 1 ½ Jahre :: >= 1 ½ Jahre bis 2 Jahre :: >= 2 Jahre bis 2 ½ Jahre :: >= 2 ½ Jahre bis 3 Jahre :: >= 3 Jahre bis 3 ½ Jahre :: >= 3 ½ Jahre bis 4 Jahre :: >= 4 Jahre bis 4 ½ Jahre :: ...","DE-SL",""
"1.5a","(1.5a) Geburtsland Mutter","choice","","Afghanistan :: Ägypten :: Åland :: Albanien :: Algerien :: Amerik.-Jungferninseln :: Amerikanisch-Samoa :: Andorra :: Angola :: ...","DE-BB",""
"1.5b","(1.5b) Geburtsland Vater","choice","","Afghanistan :: Ägypten :: Åland :: Albanien :: Algerien :: Amerik.-Jungferninseln :: Amerikanisch-Samoa :: Andorra :: Angola :: ...","DE-BB",""
"1.12b","(1.12b) Kind lebt hauptsächlich bei","choice","","Bei beiden leiblichen Eltern :: Bei alleinerziehendem Elternteil :: Bei Elternteil mit Partner :: Bei Großeltern, Pflegeeltern, Adoptiveltern oder anderen :: Keine Angaben ","DE-SL",""
"3","(3) Familiendaten","group","","","",""
"3.1a","(3.1a) Anzahl der im Familienverbund lebenden Kinder","integer","","","DE-SL",""
"3.2","(3.2) Familiäre Vorgeschichte","group","","","",""
"3.2.4","(3.2.4) Erkrankung","choice","","Allergie :: Fettstoffwechselstörung :: Bluthochdruck :: Schlaganfall :: Herzinfarkt :: Zuckerkrankheit :: Übergewicht ","",""
"3.2.6a","(3.2.6a) Liegt bei Ihrem Kind ein Grad der Behinderung/ein Pflegegrad vor?","boolean","","","DE-SL",""
"3.2.6a.1","(3.2.6a.1) Grad der Behinderung","choice","3.2.6a = true","20% :: 30% :: 40% :: 50% :: 60% :: 70% :: 80% :: 90% :: 100% ","DE-SL",""
"3.2.6a.2","(3.2.6a.2) Pflegegrad","choice","3.2.6a = true","Pflegegrad 1 :: Pflegegrad 2 :: Pflegegrad 3 :: Pflegegrad 4 :: Pflegegrad 5 ","DE-SL",""
"4","(4) Kinderbetreuung","group","","","",""
"4.1a","(4.1a) Wie alt war das Kind bei der Aufnahme in die Kita?","choice","","Unter 1 Jahr :: >= 1 Jahr bis 1 ½ Jahre :: >= 1 ½ Jahre bis 2 Jahre :: >= 2 Jahre bis 2 ½ Jahre :: >= 2 ½ Jahre bis 3 Jahre :: >= 3 Jahre bis 3 ½ Jahre :: >= 3 ½ Jahre bis 4 Jahre :: >= 4 Jahre bis 4 ½ Jahre :: >= 5 Jahre bis 5 ½ Jahre :: ...","DE-SL",""
"5","(5) Schwangerschaft und Geburt","group","","","",""
"5.1.a","(5.1.a) Dauer der Schwangerschaft (in Wochen)","integer","","","DE-SL",""
"5.2.a","(5.2.a) Geburtsgewicht (in Gramm)","integer","","","DE-SL",""
"5.6a","(5.6a) Schwangerschaftsverlauf","choice","","Normal :: Komplikationen/Risikoschwangerschaft :: Keine Angabe ","DE-SL",""
"5.8","(5.8) Stillen / mit Muttermilch ernährt","boolean","","","DE-SL",""
"5.8.1","(5.8.1) Stillzeit in Monaten","integer","5.8 = true","","DE-SL",""
"6","(6) Sprache","group","","","",""
"6.1b","(6.1b) 1. vorrangig in der Familie gesprochene Sprache","choice","","keine Angabe :: Andere :: Afar :: Abchasisch :: Achinesisch :: Acholi :: Dangme :: Adygeisch :: Afrikaans :: ...","DE-SL",""
"6.2","(6.2) Muttersprache des Kindes","choice","","keine Angabe :: Andere :: Afar :: Abchasisch :: Achinesisch :: Acholi :: Dangme :: Adygeisch :: Afrikaans :: ...","",""
"6.3","(6.3) Teilnahme des Kindes an einem Deutschkurs","choice","","Ja :: Nein :: Ist angemeldet ","",""
"7","(7) Entwicklung","group","","","",""
"7.3a","(7.3a) Freies Laufen (bis 15 Monate)","boolean","","","DE-SL",""
"7.4a","(7.4a) Erste Worte bis 1 Jahr","boolean","","","DE-SL",""
"7.5a","(7.5a) Kleine Sätze bis 2 Jahre","boolean","","","DE-SL",""
"8","(8) Erkrankungen und gesundheitliche Einschränkungen","group","","","",""
"8.1","(8.1) In regelmäßiger ärztlicher bzw. psychologischer Behandlung","boolean","","","",""
"8.2a","(8.2a) Welche Behandlung? (Mehrfachnennung möglich)","choice","8.1 = true","Ärztlich :: Zahnärztlich :: Psychologisch/Kinder- und Jugendpsychiatrisch :: Sonstige Behandlung :: Keine Angabe ","DE-SL",""
"8.4","(8.4) Sprachstörung vorhanden?","boolean","","","",""
"8.4.1a","(8.4.1a) Störung in der Sprachentwicklung","choice","8.4 = true","Aussprache :: Stottern :: Aussprache und Stottern ","DE-SL",""
"8.27","(8.27) Wurde Ihr Kind operiert","boolean","","","",""
"8.27.2","(8.27.2) Welche Operationen wurden durchgeführt?","choice","8.27 = true","Entfernung der Rachenpolypen :: Paukendrainage :: Mandeloperation :: Blinddarmoperation :: Leisten-/Nabelbruchoperation :: Augenoperation :: Sonstige Operation ","",""
"8.27.2.1","(8.27.2.1) Sonstige Operationen?","string","8.27.2 = sonstige_operation","","DE-SL",""
"8.30","(8.30) Wurde Ihr Kind jemals aufgrund von Unfallverletzungen von einem Arzt behandelt?","boolean","","","DE-SL",""
"8.30.1","(8.30.1) Nässt Ihr Kind ein?","boolean","","","DE-BE",""
"8.31","(8.31) Einnässen tags","boolean","","","DE-SL",""
"8.32","(8.32) Einnässen nachts","boolean","","","DE-SL",""
"8.33","(8.33) Einkoten tags","boolean","","","DE-SL",""
"8.34","(8.34) Einkoten nachts","boolean","","","DE-SL",""
